date,city,state,country,shape,duration_seconds,duration,comment,report_date,latitude,longitude
1997-03-13 18:40:00,phoenix,az,us,chevron,900.0,15 min,A huge triangular object slowly drifting over Phoenix&#44 AZ&#44 5 lights traveling probably less than 30 mph.,2006-05-15,33.4483333,-112.0733333
2000-04-19 22:20:00,secunderabad (india),,,disk,180.0,3 minutes,Sighting of 2 UFO objects in Secunderabad&#44 India&#44 spotted by several other people.,2000-06-06,17.43993,78.498274
2012-07-13 21:30:00,roseburg,or,us,light,60.0,60 seconds,Bright light come over horizon&#44 turn and disappear.,2012-08-05,43.2166667,-123.3405556
2011-05-14 22:00:00,miami,fl,us,cigar,120.0,2 minutes,Orange color UFO&#39s over Miami Sat.night.{05/14/2011},2011-05-29,25.7738889,-80.1938889
2006-11-25 01:00:00,pipersville,pa,us,circle,5.0,5 seconds,The object was stationary for roughly 3-5 seconds.  It had a neon greenish light and was rotating on an axis. The color made it look li,2006-12-07,40.4252778,-75.1397222
2008-11-28 23:15:00,sioux city,ia,us,oval,180.0,2-3 minute,Rounded UFO Near Grandview Park in Sioux City,2009-01-10,42.5,-96.4
2000-05-03 22:00:00,surprise,az,us,light,2700.0,45 min,On the Night of May 3&#44 2000&#44 Myself and 2 witnesses observed a light in the northwest sky that appeared to pendullum to the east and we,2000-05-11,33.6305556,-112.3325
2001-10-15 23:59:00,mt. olive,wv,us,unknown,60.0,around 1min,Flying object over Mt.Olive West Virginia,2007-11-28,38.2377778,-81.2336111
2005-06-30 11:45:00,fort collins,co,us,circle,600.0,10 min,3 discs in V formation rotating in sun&#44 and changing formation of  foothills of Fort Collins Co.&#44,2005-07-13,40.5852778,-105.0838889
2006-06-05 00:05:00,mill valley,ca,us,other,180.0,3 mins,red lights in square formation with blinking center light,2006-07-16,37.9061111,-122.5438889
1967-07-15 21:45:00,sacramento,ca,us,light,120.0,90 - 120 seconds,Single star-like object splitting into three star-like objects and moving uniformly across the sky.,2011-12-12,38.5816667,-121.4933333
1975-08-15 18:00:00,grenada,ms,us,disk,1800.0,30 minutes,3 UFO&#39s over Grenada Lake;  Mississippi,2012-07-04,33.7688889,-89.8083333
2004-04-30 23:00:00,hernando,fl,us,circle,5.0,5 seconds,White light seen similar to the description of that seen in Iran.,2004-05-04,28.8997222,-82.3747222
2009-11-05 19:30:00,fort walton beach,fl,us,triangle,15.0,15 seconds,Second triangle craft near Eglin AFB Spotted.,2009-12-12,30.4055556,-86.6188889
2002-07-02 01:00:00,mantua,oh,us,disk,10.0,10 seconds,spinning lights,2005-01-19,41.2838889,-81.2241667
2012-06-30 09:00:00,eureka,ca,us,fireball,60.0,60 seconds,Gigantic Red Ball of light at a very high altitude that vanished.,2012-07-04,40.8022222,-124.1625
